TF_ID	Gene_ID	Family
Traes_1BL_6F280C355.1	Traes_1BL_6F280C355	E2F/DP
Traes_1BL_6F6239DF9.2	Traes_1BL_6F6239DF9	NF-YB
Traes_1BL_73811B853.1	Traes_1BL_73811B853	WRKY
Traes_1BL_7513DC3F9.2	Traes_1BL_7513DC3F9	NF-YC
Traes_1BL_794E99FF5.1	Traes_1BL_794E99FF5	WRKY
Traes_1BL_80DD53F05.2	Traes_1BL_80DD53F05	CPP
Traes_1BL_8709BB152.2	Traes_1BL_8709BB152	SBP
Traes_1BL_8925B27BC.1	Traes_1BL_8925B27BC	NAC
Traes_1BL_8AC21563E.1	Traes_1BL_8AC21563E	YABBY
Traes_1BL_9018AA7BA.2	Traes_1BL_9018AA7BA	NAC
Traes_1BL_92756E39D.1	Traes_1BL_92756E39D	NAC
Traes_1BL_9AFA4B870.1	Traes_1BL_9AFA4B870	WRKY
Traes_1BL_9BF41B805.1	Traes_1BL_9BF41B805	FAR1
Traes_1BL_A5A91DE10.1	Traes_1BL_A5A91DE10	Trihelix
Traes_1BL_A75EDBFD9.2	Traes_1BL_A75EDBFD9	FAR1
Traes_1BL_AF69F4610.1	Traes_1BL_AF69F4610	bHLH
Traes_1BL_B03720C3B.2	Traes_1BL_B03720C3B	bZIP
Traes_1BL_B15990028.1	Traes_1BL_B15990028	WRKY
Traes_1BL_B34F44FC1.1	Traes_1BL_B34F44FC1	GATA
Traes_1BL_B4400C4B7.1	Traes_1BL_B4400C4B7	FAR1
Traes_1BL_B4AFDB663.1	Traes_1BL_B4AFDB663	WRKY
Traes_1BL_C5FEAF06E.1	Traes_1BL_C5FEAF06E	bZIP
Traes_1BL_D89A10B05.1	Traes_1BL_D89A10B05	bHLH
Traes_1BL_DE2CF9613.1	Traes_1BL_DE2CF9613	bZIP
Traes_1BL_DED873B03.1	Traes_1BL_DED873B03	FAR1
Traes_1BL_DF66FC4FE.1	Traes_1BL_DF66FC4FE	GRAS
Traes_1BS_1F372BED3.1	Traes_1BS_1F372BED3	bHLH
Traes_1BS_3761C242C.1	Traes_1BS_3761C242C	GATA
Traes_1BS_47D29F0A5.3	Traes_1BS_47D29F0A5	NAC
Traes_1BS_649624FE9.1	Traes_1BS_649624FE9	FAR1
Traes_1BS_7F7F9918B.1	Traes_1BS_7F7F9918B	FAR1
Traes_1BS_8F922CA93.1	Traes_1BS_8F922CA93	LBD
Traes_1BS_A44C97E0F.2	Traes_1BS_A44C97E0F	bZIP
Traes_1BS_BA396392C.2	Traes_1BS_BA396392C	Dof
Traes_1BS_CE38938A8.1	Traes_1BS_CE38938A8	LBD
Traes_1BS_D1FCBFBE8.1	Traes_1BS_D1FCBFBE8	bHLH
Traes_1BS_E3FCA98E3.2	Traes_1BS_E3FCA98E3	bZIP
Traes_1BS_EF67E5A24.1	Traes_1BS_EF67E5A24	WRKY
Traes_1BS_FBCD9C4B1.1	Traes_1BS_FBCD9C4B1	FAR1
Traes_1DL_0D056C042.1	Traes_1DL_0D056C042	YABBY
Traes_1DL_1290B6A52.1	Traes_1DL_1290B6A52	LBD
Traes_1DL_23D036A85.1	Traes_1DL_23D036A85	bZIP
Traes_1DL_3F6454D50.2	Traes_1DL_3F6454D50	NF-YB
Traes_1DL_46428511F.1	Traes_1DL_46428511F	WRKY
Traes_1DL_56A46D571.1	Traes_1DL_56A46D571	Dof
Traes_1DL_58BEEDC49.1	Traes_1DL_58BEEDC49	FAR1
Traes_1DL_5BAB0B6BC.1	Traes_1DL_5BAB0B6BC	WRKY
Traes_1DL_772D1D7DF.1	Traes_1DL_772D1D7DF	Trihelix
Traes_1DL_7AB06DF09.1	Traes_1DL_7AB06DF09	FAR1
Traes_1DL_7DDE52966.1	Traes_1DL_7DDE52966	CPP
Traes_1DL_7FAB00DBB.2	Traes_1DL_7FAB00DBB	E2F/DP
Traes_1DL_83218C6CE.1	Traes_1DL_83218C6CE	Trihelix
Traes_1DL_93BCED372.2	Traes_1DL_93BCED372	SBP
Traes_1DL_985BECD17.1	Traes_1DL_985BECD17	CPP
Traes_1DL_986875DD3.1	Traes_1DL_986875DD3	NF-YB
Traes_1DL_9EFDBD741.1	Traes_1DL_9EFDBD741	Trihelix
Traes_1DL_A2C6C77E8.1	Traes_1DL_A2C6C77E8	bHLH
Traes_1DL_A556D8590.1	Traes_1DL_A556D8590	NAC
Traes_1DL_AEBCCB52B.1	Traes_1DL_AEBCCB52B	VOZ
Traes_1DL_AFDF3B024.1	Traes_1DL_AFDF3B024	bZIP
Traes_1DL_B503A6C26.1	Traes_1DL_B503A6C26	NF-YC
Traes_1DL_BE3693D27.2	Traes_1DL_BE3693D27	FAR1
Traes_1DL_C0569EACC.1	Traes_1DL_C0569EACC	FAR1
Traes_1DL_C5AF9D06A.1	Traes_1DL_C5AF9D06A	YABBY
Traes_1DL_CE56482B5.1	Traes_1DL_CE56482B5	FAR1
Traes_1DL_D1EC7DEA6.1	Traes_1DL_D1EC7DEA6	WRKY
Traes_1DL_D550418641.2	Traes_1DL_D550418641	WRKY
Traes_1DL_D79FDE483.1	Traes_1DL_D79FDE483	NAC
Traes_1DL_D9BA83221.2	Traes_1DL_D9BA83221	bZIP
Traes_1DL_DA67871B9.1	Traes_1DL_DA67871B9	bZIP
Traes_1DL_DD0FCDF93.1	Traes_1DL_DD0FCDF93	FAR1
Traes_1DL_DFE1721E0.1	Traes_1DL_DFE1721E0	WRKY
Traes_1DL_F410CF9FD.3	Traes_1DL_F410CF9FD	NAC
Traes_1DL_F9E8D5568.1	Traes_1DL_F9E8D5568	FAR1
Traes_1DS_0CFC1995D.2	Traes_1DS_0CFC1995D	bZIP
Traes_1DS_34596D06E.1	Traes_1DS_34596D06E	Trihelix
Traes_1DS_4A2001BAC.1	Traes_1DS_4A2001BAC	NAC
Traes_1DS_55E91A134.2	Traes_1DS_55E91A134	bHLH
Traes_1DS_5998ADCA3.1	Traes_1DS_5998ADCA3	GRAS
Traes_1DS_62FDD3493.1	Traes_1DS_62FDD3493	bZIP
Traes_1DS_A31FB6CB2.1	Traes_1DS_A31FB6CB2	LBD
Traes_1DS_A6733B734.1	Traes_1DS_A6733B734	WRKY
Traes_1DS_BB8508CC6.1	Traes_1DS_BB8508CC6	LBD
Traes_1DS_C1D7139D7.1	Traes_1DS_C1D7139D7	NF-YB
Traes_1DS_CCB0E5EE7.1	Traes_1DS_CCB0E5EE7	GATA
Traes_1DS_CD79239C8.1	Traes_1DS_CD79239C8	bHLH
Traes_1DS_E5423261A.1	Traes_1DS_E5423261A	FAR1
Traes_1DS_FE10585EC.2	Traes_1DS_FE10585EC	Dof
Traes_2AL_01E6C08C0.2	Traes_2AL_01E6C08C0	GATA
Traes_2AL_054360BDD.1	Traes_2AL_054360BDD	SBP
Traes_2AL_05ADB552E.2	Traes_2AL_05ADB552E	FAR1
Traes_2AL_088338613.1	Traes_2AL_088338613	bHLH
Traes_2AL_0EB34993E.1	Traes_2AL_0EB34993E	GATA
Traes_2AL_0F613C5AB.1	Traes_2AL_0F613C5AB	Nin-like
Traes_2AL_14B1B159F.2	Traes_2AL_14B1B159F	bZIP
Traes_2AL_15A7BB684.1	Traes_2AL_15A7BB684	WRKY
Traes_2AL_163D42961.1	Traes_2AL_163D42961	FAR1
Traes_2AL_189D6889B.1	Traes_2AL_189D6889B	Dof
Traes_2AL_1B22EA0AD.2	Traes_2AL_1B22EA0AD	GRAS
Traes_2AL_1B43EA59E.1	Traes_2AL_1B43EA59E	WRKY
Traes_2AL_232DE3B52.1	Traes_2AL_232DE3B52	FAR1
Traes_2AL_246006E77.1	Traes_2AL_246006E77	Trihelix
Traes_2AL_39432DCB1.2	Traes_2AL_39432DCB1	Nin-like
Traes_2AL_3D7807781.1	Traes_2AL_3D7807781	bZIP
Traes_2AL_409AB7647.1	Traes_2AL_409AB7647	WRKY
Traes_2AL_411B944D6.1	Traes_2AL_411B944D6	bHLH
Traes_2AL_434E9F101.1	Traes_2AL_434E9F101	WRKY
Traes_2AL_450404EA6.1	Traes_2AL_450404EA6	LBD
Traes_2AL_4F71A8FB4.1	Traes_2AL_4F71A8FB4	bHLH
Traes_2AL_57BF37A86.1	Traes_2AL_57BF37A86	NAC
Traes_2AL_5ACD4B2ED.2	Traes_2AL_5ACD4B2ED	NAC
Traes_2AL_61C5A2D03.1	Traes_2AL_61C5A2D03	NAC
Traes_2AL_65586C538.2	Traes_2AL_65586C538	S1Fa-like
Traes_2AL_67BC3AFBE.1	Traes_2AL_67BC3AFBE	bHLH
Traes_2AL_6E76DBE34.1	Traes_2AL_6E76DBE34	bHLH
Traes_2AL_6FC5F1FD0.1	Traes_2AL_6FC5F1FD0	bHLH
Traes_2AL_70AE1B8B8.1	Traes_2AL_70AE1B8B8	bHLH
Traes_2AL_71DE02042.1	Traes_2AL_71DE02042	YABBY
Traes_2AL_723E42163.2	Traes_2AL_723E42163	bZIP
Traes_2AL_73E4240F0.2	Traes_2AL_73E4240F0	Trihelix
Traes_2AL_773EA7A5A.2	Traes_2AL_773EA7A5A	CAMTA
Traes_2AL_7A37B5232.1	Traes_2AL_7A37B5232	bHLH
Traes_2AL_7FEF10153.1	Traes_2AL_7FEF10153	bHLH
Traes_2AL_82C3E7E14.1	Traes_2AL_82C3E7E14	NAC
Traes_2AL_83D0D0C3F.1	Traes_2AL_83D0D0C3F	LFY
Traes_2AL_892B4448E.2	Traes_2AL_892B4448E	bHLH
Traes_2AL_8A23618BA.1	Traes_2AL_8A23618BA	NAC
Traes_2AL_8E714CD46.1	Traes_2AL_8E714CD46	bHLH
Traes_2AL_8EC530273.1	Traes_2AL_8EC530273	E2F/DP
Traes_2AL_8EE7F34F6.2	Traes_2AL_8EE7F34F6	NAC
Traes_2AL_9A4A7514E.1	Traes_2AL_9A4A7514E	FAR1
Traes_2AL_9E68ABA72.1	Traes_2AL_9E68ABA72	Trihelix
Traes_2AL_A7EA252CA.1	Traes_2AL_A7EA252CA	NAC
Traes_2AL_AB04643C9.1	Traes_2AL_AB04643C9	NAC
Traes_2AL_ABBE06B44.1	Traes_2AL_ABBE06B44	FAR1
Traes_2AL_ACBAA6A31.1	Traes_2AL_ACBAA6A31	bHLH
Traes_2AL_AE22E725E.3	Traes_2AL_AE22E725E	NF-YB
Traes_2AL_B05A4E316.1	Traes_2AL_B05A4E316	TCP
Traes_2AL_B1270662B.1	Traes_2AL_B1270662B	WRKY
Traes_2AL_B45245746.2	Traes_2AL_B45245746	SBP
Traes_2AL_BC4CD296F.1	Traes_2AL_BC4CD296F	Nin-like
Traes_2AL_BD0C7A9A5.2	Traes_2AL_BD0C7A9A5	bZIP
Traes_2AL_C0670BBDD.2	Traes_2AL_C0670BBDD	NAC
Traes_2AL_C3E7F1648.1	Traes_2AL_C3E7F1648	GATA
Traes_2AL_C76F4E089.2	Traes_2AL_C76F4E089	EIL
Traes_2AL_CA89051FD.1	Traes_2AL_CA89051FD	NAC
Traes_2AL_CB84F42D2.2	Traes_2AL_CB84F42D2	NAC
Traes_2AL_CDA1C09AB.1	Traes_2AL_CDA1C09AB	NAC
Traes_2AL_D3B2C21A7.1	Traes_2AL_D3B2C21A7	HSF
Traes_2AL_D6F52AD28.2	Traes_2AL_D6F52AD28	Dof
Traes_2AL_DB6FB44F8.1	Traes_2AL_DB6FB44F8	NAC
Traes_2AL_E93926EE7.1	Traes_2AL_E93926EE7	Dof
Traes_2AL_EA60A06AC.1	Traes_2AL_EA60A06AC	TCP
Traes_2AL_F001B4F26.1	Traes_2AL_F001B4F26	NAC
Traes_2AL_F0B17F0EA.1	Traes_2AL_F0B17F0EA	NAC
Traes_2AL_FA1957F59.1	Traes_2AL_FA1957F59	bZIP
Traes_2AL_FAB4B4A20.2	Traes_2AL_FAB4B4A20	bHLH
Traes_2AL_FDF9CFC56.1	Traes_2AL_FDF9CFC56	NAC
Traes_2AS_0186B9E4F.2	Traes_2AS_0186B9E4F	WRKY
Traes_2AS_09457EDD8.2	Traes_2AS_09457EDD8	NAC
Traes_2AS_12294E9D5.1	Traes_2AS_12294E9D5	FAR1
Traes_2AS_125195CDF.1	Traes_2AS_125195CDF	NAC
Traes_2AS_1683BEFD0.1	Traes_2AS_1683BEFD0	FAR1
Traes_2AS_16D1CC46E.1	Traes_2AS_16D1CC46E	FAR1
Traes_2AS_1A307CE26.1	Traes_2AS_1A307CE26	TCP
Traes_2AS_1AFFE8DA6.1	Traes_2AS_1AFFE8DA6	WRKY
Traes_2AS_20DD727DC.1	Traes_2AS_20DD727DC	E2F/DP
Traes_2AS_3B7BE6FDC.2	Traes_2AS_3B7BE6FDC	bZIP
Traes_2AS_3DDBFDD8D.1	Traes_2AS_3DDBFDD8D	FAR1
Traes_2AS_40682422C.1	Traes_2AS_40682422C	FAR1
Traes_2AS_40682422C1.1	Traes_2AS_40682422C1	FAR1
Traes_2AS_409CAEDB6.1	Traes_2AS_409CAEDB6	EIL
Traes_2AS_455BD2CA1.1	Traes_2AS_455BD2CA1	GRAS
Traes_2AS_4C4190DEB.2	Traes_2AS_4C4190DEB	CAMTA
Traes_2AS_506D953C1.1	Traes_2AS_506D953C1	CAMTA
Traes_2AS_53BFA14C7.2	Traes_2AS_53BFA14C7	HSF
Traes_2AS_5466FDAF8.1	Traes_2AS_5466FDAF8	NAC
Traes_2AS_5B8CF4BA2.1	Traes_2AS_5B8CF4BA2	FAR1
Traes_2AS_5C7B75BC5.1	Traes_2AS_5C7B75BC5	HSF
Traes_2AS_5D0C0E5BB.1	Traes_2AS_5D0C0E5BB	BES1
Traes_2AS_620B821281.1	Traes_2AS_620B821281	GRAS
Traes_2AS_6269D889E.1	Traes_2AS_6269D889E	WRKY
Traes_2AS_66F050AC7.1	Traes_2AS_66F050AC7	HSF
Traes_2AS_6C2F49AE0.1	Traes_2AS_6C2F49AE0	Dof
Traes_2AS_6EA1E372F.1	Traes_2AS_6EA1E372F	bZIP
Traes_2AS_70DFD1AE1.2	Traes_2AS_70DFD1AE1	FAR1
Traes_2AS_759EDDA47.1	Traes_2AS_759EDDA47	NAC
Traes_2AS_7AAACC26B.1	Traes_2AS_7AAACC26B	NAC
Traes_2AS_7BD3963BD.1	Traes_2AS_7BD3963BD	GRAS
Traes_2AS_7C177F9DB.1	Traes_2AS_7C177F9DB	NF-YA
Traes_2AS_8132D23F4.1	Traes_2AS_8132D23F4	CPP
Traes_2AS_83423E255.1	Traes_2AS_83423E255	GRAS
Traes_2AS_8C5E619C6.1	Traes_2AS_8C5E619C6	GeBP
Traes_2AS_942884399.1	Traes_2AS_942884399	LBD
Traes_2AS_960C7E44E.1	Traes_2AS_960C7E44E	GRAS
Traes_2AS_9A3F73BE3.1	Traes_2AS_9A3F73BE3	bHLH
Traes_2AS_9AEA9BDEA.1	Traes_2AS_9AEA9BDEA	bHLH
Traes_2AS_AE392E835.1	Traes_2AS_AE392E835	CAMTA
Traes_2AS_B1B372658.2	Traes_2AS_B1B372658	bZIP
Traes_2AS_B3BC47BB0.1	Traes_2AS_B3BC47BB0	NF-YB
Traes_2AS_BB6B8AC48.2	Traes_2AS_BB6B8AC48	FAR1
Traes_2AS_C0C74B775.1	Traes_2AS_C0C74B775	bHLH
Traes_2AS_C2A4AFE6F.1	Traes_2AS_C2A4AFE6F	SBP
Traes_2AS_C407071E4.2	Traes_2AS_C407071E4	WRKY
Traes_2AS_C4568AE60.1	Traes_2AS_C4568AE60	bHLH
Traes_2AS_C73DE621D.1	Traes_2AS_C73DE621D	NAC
Traes_2AS_D0B21BF981.2	Traes_2AS_D0B21BF981	GRAS
Traes_2AS_D0C21ADB5.1	Traes_2AS_D0C21ADB5	WRKY
Traes_2AS_E17243D52.1	Traes_2AS_E17243D52	GRAS
Traes_2AS_E6DE173BA.1	Traes_2AS_E6DE173BA	HRT-like
Traes_2AS_FE9AC4EDD.2	Traes_2AS_FE9AC4EDD	bHLH
Traes_2BL_00608F8D6.1	Traes_2BL_00608F8D6	bHLH
Traes_2BL_068034A6D.1	Traes_2BL_068034A6D	FAR1
Traes_2BL_070D9E2AD.2	Traes_2BL_070D9E2AD	bHLH
Traes_2BL_0978E2D14.1	Traes_2BL_0978E2D14	SBP
Traes_2BL_0AED4E377.1	Traes_2BL_0AED4E377	NAC
Traes_2BL_0B80B3876.2	Traes_2BL_0B80B3876	Trihelix
Traes_2BL_0BA3C9692.1	Traes_2BL_0BA3C9692	NAC
Traes_2BL_0C41F5FAB.1	Traes_2BL_0C41F5FAB	GATA
Traes_2BL_0C45635DD1.4	Traes_2BL_0C45635DD1	Trihelix
Traes_2BL_1506D0FD2.1	Traes_2BL_1506D0FD2	FAR1
Traes_2BL_1751C4BBF.2	Traes_2BL_1751C4BBF	FAR1
Traes_2BL_1E7B7A8CA.1	Traes_2BL_1E7B7A8CA	E2F/DP
Traes_2BL_209C14A8F.1	Traes_2BL_209C14A8F	NAC
Traes_2BL_245DDBC7B.2	Traes_2BL_245DDBC7B	bZIP
Traes_2BL_24E6E8DF9.1	Traes_2BL_24E6E8DF9	NAC
Traes_2BL_260DF778A.1	Traes_2BL_260DF778A	NAC
Traes_2BL_26A5F9082.2	Traes_2BL_26A5F9082	S1Fa-like
Traes_2BL_2784BC27C.2	Traes_2BL_2784BC27C	Nin-like
Traes_2BL_2BA3A755A.1	Traes_2BL_2BA3A755A	WRKY
Traes_2BL_2ECC216F7.2	Traes_2BL_2ECC216F7	FAR1
Traes_2BL_316A467DE.2	Traes_2BL_316A467DE	NAC
Traes_2BL_3237AA694.1	Traes_2BL_3237AA694	NF-YB
Traes_2BL_33410A32A.1	Traes_2BL_33410A32A	HSF
Traes_2BL_36A3AB3A2.1	Traes_2BL_36A3AB3A2	TCP
Traes_2BL_3A840DB921.2	Traes_2BL_3A840DB921	LBD
Traes_2BL_4575D095D.1	Traes_2BL_4575D095D	GATA
Traes_2BL_4611C1667.1	Traes_2BL_4611C1667	Dof
Traes_2BL_46BA39C7B.2	Traes_2BL_46BA39C7B	SBP
Traes_2BL_46E59998A1.1	Traes_2BL_46E59998A1	GRAS
Traes_2BL_4B6057E06.1	Traes_2BL_4B6057E06	TCP
Traes_2BL_4E0157603.2	Traes_2BL_4E0157603	NAC
Traes_2BL_59B9199D9.1	Traes_2BL_59B9199D9	bHLH
Traes_2BL_5CA3D3163.1	Traes_2BL_5CA3D3163	bZIP
Traes_2BL_649181D92.1	Traes_2BL_649181D92	bHLH
Traes_2BL_6899C8ABD.1	Traes_2BL_6899C8ABD	GATA
Traes_2BL_692BF6383.1	Traes_2BL_692BF6383	Trihelix
Traes_2BL_69E6AB6D1.2	Traes_2BL_69E6AB6D1	SBP
Traes_2BL_6AEE8AC28.1	Traes_2BL_6AEE8AC28	NAC
Traes_2BL_6B75B32E3.1	Traes_2BL_6B75B32E3	WRKY
Traes_2BL_709E67A02.1	Traes_2BL_709E67A02	bZIP
Traes_2BL_75FBE2E45.1	Traes_2BL_75FBE2E45	NAC
Traes_2BL_7BC3DF5C7.2	Traes_2BL_7BC3DF5C7	Nin-like
Traes_2BL_7BE6FCE7D.1	Traes_2BL_7BE6FCE7D	EIL
Traes_2BL_83EDE2CBB.1	Traes_2BL_83EDE2CBB	Trihelix
Traes_2BL_84018B863.1	Traes_2BL_84018B863	FAR1
Traes_2BL_88A78A71E.1	Traes_2BL_88A78A71E	GRAS
Traes_2BL_8BEA9CE1B.1	Traes_2BL_8BEA9CE1B	YABBY
Traes_2BL_8DEC0EFBF.2	Traes_2BL_8DEC0EFBF	LFY
Traes_2BL_8FED05903.1	Traes_2BL_8FED05903	bHLH
Traes_2BL_94E5996F7.1	Traes_2BL_94E5996F7	bZIP
Traes_2BL_9528AAD7C.2	Traes_2BL_9528AAD7C	bZIP
Traes_2BL_A014BCC51.2	Traes_2BL_A014BCC51	bHLH
Traes_2BL_A1F9C66CA.2	Traes_2BL_A1F9C66CA	bHLH
Traes_2BL_A36519520.2	Traes_2BL_A36519520	ZF-HD
Traes_2BL_A5BFA97B9.1	Traes_2BL_A5BFA97B9	WRKY
Traes_2BL_A69F6C5DF.1	Traes_2BL_A69F6C5DF	WRKY
Traes_2BL_A89BDB407.2	Traes_2BL_A89BDB407	CAMTA
Traes_2BL_AE7EE9B5D.1	Traes_2BL_AE7EE9B5D	NAC
Traes_2BL_B2811EA531.2	Traes_2BL_B2811EA531	GRAS
Traes_2BL_C1DE13045.1	Traes_2BL_C1DE13045	FAR1
Traes_2BL_C594B831F.2	Traes_2BL_C594B831F	bHLH
Traes_2BL_CBFB7D720.2	Traes_2BL_CBFB7D720	NAC
Traes_2BL_D0D6F6846.1	Traes_2BL_D0D6F6846	bZIP
Traes_2BL_D3FAA4D64.2	Traes_2BL_D3FAA4D64	bHLH
Traes_2BL_D4386368B.2	Traes_2BL_D4386368B	FAR1
Traes_2BL_D5FCF8120.2	Traes_2BL_D5FCF8120	Dof
Traes_2BL_D718E27A9.1	Traes_2BL_D718E27A9	NAC
Traes_2BL_E2B676D40.1	Traes_2BL_E2B676D40	bHLH
Traes_2BL_E58521BDF.1	Traes_2BL_E58521BDF	bHLH
Traes_2BL_E5C380F21.1	Traes_2BL_E5C380F21	FAR1
Traes_2BL_E82F7902D.1	Traes_2BL_E82F7902D	bHLH
Traes_2BL_E8D551BE0.2	Traes_2BL_E8D551BE0	Nin-like
Traes_2BL_F38E03233.1	Traes_2BL_F38E03233	bHLH
Traes_2BL_F38E032331.1	Traes_2BL_F38E032331	bHLH
Traes_2BL_F4302657F.2	Traes_2BL_F4302657F	NAC
Traes_2BL_F442E87DD.1	Traes_2BL_F442E87DD	bHLH
Traes_2BL_FDD7CBAD0.2	Traes_2BL_FDD7CBAD0	bHLH
Traes_2BS_00566A85C.1	Traes_2BS_00566A85C	NAC
Traes_2BS_00DF01F06.1	Traes_2BS_00DF01F06	CAMTA
